Titel,Text,URL,Datum,Dateiname
Berlin und Tel Aviv vereinbaren Städtepartnerschaft,"Berlin bekommt eine neue Partnerstadt. Der Regierende Bürgermeister betonte die enge Verbindung zwischen beiden Städten, die nun weiter vertieft werde.",https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1548276.php,04.04.2025,2025-04-04_Berlin_und_Tel_Aviv_vereinbaren_Städtepartnerschaft.txt
Ministerpräsidenten-konferenz-Ost in Berlin,Gemeinsam mit seinen Amtskollegen sprach sich der Regierende Bürgermeister für mehr Innovationen und Wirtschaftswachstum in Ostdeutschland aus.,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1548194.php,04.04.2025,2025-04-04_Ministerpräsidenten-konferenz-Ost_in_Berlin.txt
Senat beschließt Verwaltungsreform,"""Berlin schreibt heute Zukunft"" sagte der Regierende Bürgermeister über die Verabschiedung der umfassendsten Reform der Berliner Verwaltung seit Jahrzehnten.",https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1546993.php,04.04.2025,2025-04-04_Senat_beschließt_Verwaltungsreform.txt
Kai Wegner vor Ort,Der Regierende Bürgermeister besucht am 29. April den Bezirk Tempelhof-Schöneberg und stellt sich den Fragen der Berlinerinnen und Berliner. Melden Sie sich an!,https://www.berlin.de/rbmskzl/aktuelles/veranstaltungen/kai-wegner-vor-ort/,04.04.2025,2025-04-04_Kai_Wegner_vor_Ort.txt
Europa,Was hat Berlin mit Europa zu tun? Finden Sie es heraus!,https://www.berlin.de/sen/europa/,04.04.2025,2025-04-04_Europa.txt
Internationales,Das Land Berlin unterhält Partnerschaften mit 18 Metropolen auf der Welt.,https://www.berlin.de/rbmskzl/politik/senatskanzlei/internationales/,04.04.2025,2025-04-04_Internationales.txt
Medien,"Der Senat hat das Ziel, Berlin als Filmmetropole weiter auszubauen und die Medienpolitik voranzutreiben.",https://www.berlin.de/rbmskzl/politik/senatskanzlei/medienpolitik/,04.04.2025,2025-04-04_Medien.txt
,Wegner: Berlin und Tel Aviv vereinbaren Städtepartnerschaft,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1548276.php,04.04.2025,2025-04-04_Wegner:_Berlin_und.txt
,Wegner zur Ministerpräsidentenkonferenz-Ost,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1548194.php,03.04.2025,2025-04-04_Wegner_zur_Ministerpräsidentenkonferenz-Ost.txt
,Verwaltungsstrukturreform in zweiter Lesung im Senat beschlossen,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1546993.php,01.04.2025,2025-04-04_Verwaltungsstrukturreform_in_zweiter.txt
